"MutantVarietyID","Variety Name","Local Name","Local Registration Year","Local Registration Number","Local Registration Agency","National Registration Number","National Registration Agency","Latin Name","Common Name","Country Name","Short Description","Miscellaneous","Character Improvement Details","Registration","PropagationModeType","UsageSubcategory","MutantDevelopmentType","Intellectual Property","Mutagen Treatment Type","Physical Mutagen","Chemical Mutagen","Treatment Material Type","Continent Name"
"661","092","","1966","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 092 was officialy approved in 1966. It was developed by irradiation with gamma rays (200 Gy). Main improved attributes of mutant variety are early maturity, higher yield, stripe and stem rust resistance, resistance to lodging.","","Early maturity, higher yield, stripe and stem rust resistance, resistance to lodging.","1966","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"312","113","","1985","","","","","Gossypium L.","Cotton","China","The mutant variety 113 was officialy approved in 1985. It was developed by irradiation of seeds with gamma rays (350 Gy). Main improved attributes of mutant variety are early maturity, better quality, suitable for sowing in summer.","","Early maturity, better quality, suitable for sowing in summer","1985","Seed - Self pollination","Fibre crop","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"662","1161","","1966","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 1161 was officialy approved in 1966. It was developed by irradiation with gamma rays (300 Gy). Main improved attributes of mutant variety are resistence to low temperature and resistance to stripe rust.","","Resistence to low temperature and resistance to stripe rust","1966","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"761","1870","1870","1984","","","","","Oryza sativa L.","Rice","China","The mutant variety 1870 was officialy approved in 1984. It was developed by irradiation with gamma rays (200 Gy). Main improved attributes of mutant variety are improved maturity and high grain yield.","","Improved maturity and high grain yield","1984","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"607","202","","1973","","","","","Oryza sativa L.","Rice","China","The mutant variety 202 was officialy approved in 1973. It was developed by irradiation of seeds with gamma rays (200 Gy). Main improved attributes of mutant variety are small leaves, large panicle and tolerance to drought.","","Small leaves, large panicle and tolerance to drought","1973","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"608","240","","1980","","","","","Oryza sativa L.","Rice","China","The mutant variety 240 was officialy approved in 1980. It was developed by irradiation of seeds with gamma rays (300 Gy). Main improved attributes of mutant variety are early maturity and resistance to diseases.","","Early maturity and resistance to diseases","1980","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"690","352","352","1983","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 352 was officialy approved in 1973. It was developed by treatment with laser. Main improved attributes of mutant variety are early maturity, tolerance to Gibberella zeae and high yield.","","Early maturity, tolerance to Gibberella zeae and high yield","1983","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Lasers","","","Asia"
"691","503","","1975","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 503 was officialy approved in 1975. It was developed by irradiation of seeds with gamma rays (300 Gy). Main improved attributes of mutant variety are good tillering, resistance to low temperatures, resistance to rust, suitable for mountain areas.","","Good tillering, resistance to low temperatures, resistance to rust, suitable for mountain areas","1975","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"1425","6 B","","1986","","","","","Oryza sativa L.","Rice","Viet Nam","The mutant variety 6 B was officialy approved in 1986. It was developed by hybridization with one mutant variety Atomita 2 induced by irradiation of seeds with gamma rays (200 Gy). Main improved attributes of variety are high yield (20%), larger panicle, higher TGW, better than both parents in tolerance to salinity.","","High yield (20%), larger panicle, higher TGW, better than both parents in tolerance to salinity","1986","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays","","Seed","Asia"
"666","62-10","62-10","1985","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 62-10 was officialy approved in 1985. It was developed by treatment with fast neutrons. Main improved attributes of mutant variety are resistance to stripe rust and shorter culm.","","Resistance to stripe rust and shorter culm","1985","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Neutrons - fast neutrons","","","Asia"
